"Number","day","ris_total","bts_total","age","gender","education","nation","week","ris_between","ris_within","bts_between","bts_within","ris_between_c","bts_between_c","ris_within_lag1","bts_within_lag1","ris_total_lag1","bts_total_lag1"
"J8",6,6,11,19,1,2,0,1,8.28571428571429,-2.28571428571429,12.7857142857143,-1.78571428571429,2.05246553935128,1.89998273842862,-0.285714285714286,-0.785714285714286,8,12
"J8",7,8,12,19,1,2,0,1,8.28571428571429,-0.285714285714286,12.7857142857143,-0.785714285714286,2.05246553935128,1.89998273842862,-2.28571428571429,-1.78571428571429,6,11
"J8",8,6,12,19,1,2,0,2,8.28571428571429,-2.28571428571429,12.7857142857143,-0.785714285714286,2.05246553935128,1.89998273842862,-0.285714285714286,-0.785714285714286,8,12
"J8",9,10,13,19,1,2,0,2,8.28571428571429,1.71428571428571,12.7857142857143,0.214285714285714,2.05246553935128,1.89998273842862,-2.28571428571429,-0.785714285714286,6,12
"J8",10,10,14,19,1,2,0,2,8.28571428571429,1.71428571428571,12.7857142857143,1.21428571428571,2.05246553935128,1.89998273842862,1.71428571428571,0.214285714285714,10,13
"J8",11,8,14,19,1,2,0,2,8.28571428571429,-0.285714285714286,12.7857142857143,1.21428571428571,2.05246553935128,1.89998273842862,1.71428571428571,1.21428571428571,10,14
"J8",12,10,12,19,1,2,0,2,8.28571428571429,1.71428571428571,12.7857142857143,-0.785714285714286,2.05246553935128,1.89998273842862,-0.285714285714286,1.21428571428571,8,14
"J8",13,8,13,19,1,2,0,2,8.28571428571429,-0.285714285714286,12.7857142857143,0.214285714285714,2.05246553935128,1.89998273842862,1.71428571428571,-0.785714285714286,10,12
"J8",14,10,12,19,1,2,0,2,8.28571428571429,1.71428571428571,12.7857142857143,-0.785714285714286,2.05246553935128,1.89998273842862,-0.285714285714286,0.214285714285714,8,13
"J9",1,4,8,20,1,2,0,1,4.14285714285714,-0.142857142857143,9.14285714285714,-1.14285714285714,-2.09039160350586,-1.74287440442852,NA,NA,NA,NA
"J9",2,4,9,20,1,2,0,1,4.14285714285714,-0.142857142857143,9.14285714285714,-0.142857142857142,-2.09039160350586,-1.74287440442852,-0.142857142857143,-1.14285714285714,4,8
"J9",3,3,9,20,1,2,0,1,4.14285714285714,-1.14285714285714,9.14285714285714,-0.142857142857142,-2.09039160350586,-1.74287440442852,-0.142857142857143,-0.142857142857142,4,9
"J9",4,2,11,20,1,2,0,1,4.14285714285714,-2.14285714285714,9.14285714285714,1.85714285714286,-2.09039160350586,-1.74287440442852,-1.14285714285714,-0.142857142857142,3,9
"J9",5,6,8,20,1,2,0,1,4.14285714285714,1.85714285714286,9.14285714285714,-1.14285714285714,-2.09039160350586,-1.74287440442852,-2.14285714285714,1.85714285714286,2,11
"J9",6,7,9,20,1,2,0,1,4.14285714285714,2.85714285714286,9.14285714285714,-0.142857142857142,-2.09039160350586,-1.74287440442852,1.85714285714286,-1.14285714285714,6,8
"J9",7,6,8,20,1,2,0,1,4.14285714285714,1.85714285714286,9.14285714285714,-1.14285714285714,-2.09039160350586,-1.74287440442852,2.85714285714286,-0.142857142857142,7,9
"J9",8,8,10,20,1,2,0,2,4.14285714285714,3.85714285714286,9.14285714285714,0.857142857142858,-2.09039160350586,-1.74287440442852,1.85714285714286,-1.14285714285714,6,8
"J9",9,4,8,20,1,2,0,2,4.14285714285714,-0.142857142857143,9.14285714285714,-1.14285714285714,-2.09039160350586,-1.74287440442852,3.85714285714286,0.857142857142858,8,10
"J9",10,4,10,20,1,2,0,2,4.14285714285714,-0.142857142857143,9.14285714285714,0.857142857142858,-2.09039160350586,-1.74287440442852,-0.142857142857143,-1.14285714285714,4,8
"J9",11,4,9,20,1,2,0,2,4.14285714285714,-0.142857142857143,9.14285714285714,-0.142857142857142,-2.09039160350586,-1.74287440442852,-0.142857142857143,0.857142857142858,4,10
"J9",12,2,10,20,1,2,0,2,4.14285714285714,-2.14285714285714,9.14285714285714,0.857142857142858,-2.09039160350586,-1.74287440442852,-0.142857142857143,-0.142857142857142,4,9
"J9",13,2,9,20,1,2,0,2,4.14285714285714,-2.14285714285714,9.14285714285714,-0.142857142857142,-2.09039160350586,-1.74287440442852,-2.14285714285714,0.857142857142858,2,10
"J9",14,2,10,20,1,2,0,2,4.14285714285714,-2.14285714285714,9.14285714285714,0.857142857142858,-2.09039160350586,-1.74287440442852,-2.14285714285714,-0.142857142857142,2,9
"K1",1,4,10,19,1,2,1,1,4,0,10,0,-2.23324874636301,-0.885731547285662,NA,NA,NA,NA
"K10",1,6,11,24,0,3,0,1,6,0,12.2727272727273,-1.27272727272727,-0.233248746363007,1.38699572544161,NA,NA,NA,NA
"K10",2,6,10,24,0,3,0,1,6,0,12.2727272727273,-2.27272727272727,-0.233248746363007,1.38699572544161,0,-1.27272727272727,6,11
"K10",3,6,9,24,0,3,0,1,6,0,12.2727272727273,-3.27272727272727,-0.233248746363007,1.38699572544161,0,-2.27272727272727,6,10
"K10",4,6,15,24,0,3,0,1,6,0,12.2727272727273,2.72727272727273,-0.233248746363007,1.38699572544161,0,-3.27272727272727,6,9
"K10",5,4,12,24,0,3,0,1,6,-2,12.2727272727273,-0.272727272727273,-0.233248746363007,1.38699572544161,0,2.72727272727273,6,15
"K10",6,6,10,24,0,3,0,1,6,0,12.2727272727273,-2.27272727272727,-0.233248746363007,1.38699572544161,-2,-0.272727272727273,4,12
"K10",7,6,12,24,0,3,0,1,6,0,12.2727272727273,-0.272727272727273,-0.233248746363007,1.38699572544161,0,-2.27272727272727,6,10
"K10",8,4,10,24,0,3,0,2,6,-2,12.2727272727273,-2.27272727272727,-0.233248746363007,1.38699572544161,0,-0.272727272727273,6,12
"K10",9,NA,NA,24,0,3,0,2,6,NA,12.2727272727273,NA,-0.233248746363007,1.38699572544161,-2,-2.27272727272727,4,10
"K10",10,NA,NA,24,0,3,0,2,6,NA,12.2727272727273,NA,-0.233248746363007,1.38699572544161,NA,NA,NA,NA
"K10",11,8,11,24,0,3,0,2,6,2,12.2727272727273,-1.27272727272727,-0.233248746363007,1.38699572544161,NA,NA,NA,NA
"K10",12,NA,NA,24,0,3,0,2,6,NA,12.2727272727273,NA,-0.233248746363007,1.38699572544161,2,-1.27272727272727,8,11
"K10",13,6,19,24,0,3,0,2,6,0,12.2727272727273,6.72727272727273,-0.233248746363007,1.38699572544161,NA,NA,NA,NA
"K10",14,8,16,24,0,3,0,2,6,2,12.2727272727273,3.72727272727273,-0.233248746363007,1.38699572544161,0,6.72727272727273,6,19
"K11",1,11,12,19,0,1,0,1,10.1111111111111,0.888888888888889,9.77777777777778,2.22222222222222,3.8778623647481,-1.10795376950788,NA,NA,NA,NA
"K11",2,9,10,19,0,1,0,1,10.1111111111111,-1.11111111111111,9.77777777777778,0.222222222222221,3.8778623647481,-1.10795376950788,0.888888888888889,2.22222222222222,11,12
"K11",3,NA,NA,19,0,1,0,1,10.1111111111111,NA,9.77777777777778,NA,3.8778623647481,-1.10795376950788,-1.11111111111111,0.222222222222221,9,10
"K11",4,NA,NA,19,0,1,0,1,10.1111111111111,NA,9.77777777777778,NA,3.8778623647481,-1.10795376950788,NA,NA,NA,NA
"K11",5,NA,NA,19,0,1,0,1,10.1111111111111,NA,9.77777777777778,NA,3.8778623647481,-1.10795376950788,NA,NA,NA,NA
"K11",6,11,10,19,0,1,0,1,10.1111111111111,0.888888888888889,9.77777777777778,0.222222222222221,3.8778623647481,-1.10795376950788,NA,NA,NA,NA
"K11",7,7,10,19,0,1,0,1,10.1111111111111,-3.11111111111111,9.77777777777778,0.222222222222221,3.8778623647481,-1.10795376950788,0.888888888888889,0.222222222222221,11,10
"K11",8,11,8,19,0,1,0,2,10.1111111111111,0.888888888888889,9.77777777777778,-1.77777777777778,3.8778623647481,-1.10795376950788,-3.11111111111111,0.222222222222221,7,10
"K11",9,11,10,19,0,1,0,2,10.1111111111111,0.888888888888889,9.77777777777778,0.222222222222221,3.8778623647481,-1.10795376950788,0.888888888888889,-1.77777777777778,11,8
"K11",10,11,10,19,0,1,0,2,10.1111111111111,0.888888888888889,9.77777777777778,0.222222222222221,3.8778623647481,-1.10795376950788,0.888888888888889,0.222222222222221,11,10
"K11",11,NA,NA,19,0,1,0,2,10.1111111111111,NA,9.77777777777778,NA,3.8778623647481,-1.10795376950788,0.888888888888889,0.222222222222221,11,10
"K11",12,11,9,19,0,1,0,2,10.1111111111111,0.888888888888889,9.77777777777778,-0.777777777777779,3.8778623647481,-1.10795376950788,NA,NA,NA,NA
"K11",13,NA,NA,19,0,1,0,2,10.1111111111111,NA,9.77777777777778,NA,3.8778623647481,-1.10795376950788,0.888888888888889,-0.777777777777779,11,9
"K11",14,9,9,19,0,1,0,2,10.1111111111111,-1.11111111111111,9.77777777777778,-0.777777777777779,3.8778623647481,-1.10795376950788,NA,NA,NA,NA
"K13",1,2,9,21,0,2,0,1,2.28571428571429,-0.285714285714286,7.92857142857143,1.07142857142857,-3.94753446064872,-2.95716011871423,NA,NA,NA,NA
"K13",2,6,7,21,0,2,0,1,2.28571428571429,3.71428571428571,7.92857142857143,-0.928571428571429,-3.94753446064872,-2.95716011871423,-0.285714285714286,1.07142857142857,2,9
"K13",3,2,8,21,0,2,0,1,2.28571428571429,-0.285714285714286,7.92857142857143,0.0714285714285712,-3.94753446064872,-2.95716011871423,3.71428571428571,-0.928571428571429,6,7
"K13",4,2,7,21,0,2,0,1,2.28571428571429,-0.285714285714286,7.92857142857143,-0.928571428571429,-3.94753446064872,-2.95716011871423,-0.285714285714286,0.0714285714285712,2,8
"K13",5,2,8,21,0,2,0,1,2.28571428571429,-0.285714285714286,7.92857142857143,0.0714285714285712,-3.94753446064872,-2.95716011871423,-0.285714285714286,-0.928571428571429,2,7
"K13",6,2,9,21,0,2,0,1,2.28571428571429,-0.285714285714286,7.92857142857143,1.07142857142857,-3.94753446064872,-2.95716011871423,-0.285714285714286,0.0714285714285712,2,8
"K13",7,2,7,21,0,2,0,1,2.28571428571429,-0.285714285714286,7.92857142857143,-0.928571428571429,-3.94753446064872,-2.95716011871423,-0.285714285714286,1.07142857142857,2,9
"K13",8,2,7,21,0,2,0,2,2.28571428571429,-0.285714285714286,7.92857142857143,-0.928571428571429,-3.94753446064872,-2.95716011871423,-0.285714285714286,-0.928571428571429,2,7
"K13",9,2,7,21,0,2,0,2,2.28571428571429,-0.285714285714286,7.92857142857143,-0.928571428571429,-3.94753446064872,-2.95716011871423,-0.285714285714286,-0.928571428571429,2,7
"K13",10,2,7,21,0,2,0,2,2.28571428571429,-0.285714285714286,7.92857142857143,-0.928571428571429,-3.94753446064872,-2.95716011871423,-0.285714285714286,-0.928571428571429,2,7
"K13",11,2,10,21,0,2,0,2,2.28571428571429,-0.285714285714286,7.92857142857143,2.07142857142857,-3.94753446064872,-2.95716011871423,-0.285714285714286,-0.928571428571429,2,7
"K13",12,2,8,21,0,2,0,2,2.28571428571429,-0.285714285714286,7.92857142857143,0.0714285714285712,-3.94753446064872,-2.95716011871423,-0.285714285714286,2.07142857142857,2,10
"K13",13,2,10,21,0,2,0,2,2.28571428571429,-0.285714285714286,7.92857142857143,2.07142857142857,-3.94753446064872,-2.95716011871423,-0.285714285714286,0.0714285714285712,2,8
"K13",14,2,7,21,0,2,0,2,2.28571428571429,-0.285714285714286,7.92857142857143,-0.928571428571429,-3.94753446064872,-2.95716011871423,-0.285714285714286,2.07142857142857,2,10
"K14",1,2,7,21,1,2,0,1,2.14285714285714,-0.142857142857143,5.5,1.5,-4.09039160350586,-5.38573154728566,NA,NA,NA,NA
