UID	province	city	year	微博数	微博字数	消极感受	社会比较	强迫性思维	认知偏差	休息不耐受	词数	每句平均词数	字典覆盖率	数字比率	词长大于等于6的比率	词长大于等于4的比率	拉丁词比率	at用户数量	情感词数量	标签数量	url数量
浙江 嘉兴_2016	浙江	嘉兴	2016	381641	11007133	1.9100492328832985e-06	2.8195964866372502e-06	7.458287480782403e-06	3.456279564265016e-06	1.56442E-05	10994481	3664827	5.411806159836012e-05	0.010938761001997276	0	0	0.00023229836860875924	0	0	31	0
浙江 嘉兴_2017	浙江	嘉兴	2017	308980	11357332	2.202886168588817e-06	4.141425996946976e-06	6.961120292740662e-06	2.995925189280791e-06	1.63014E-05	11348748	1621249.7142857143	5.886111842469319e-05	0.012671529934403337	0	0	0.0001532327618870381	0	0	3	0
浙江 嘉兴_2018	浙江	嘉兴	2018	285493	11107498	2.342004756071197e-06	5.044317936153348e-06	1.026879008431217e-05	3.693161346112272e-06	2.13483E-05	11101600	1850266.6666666667	7.467392087627009e-05	0.01208195215104129	0	0	0.0001463752972544498	0	0	2	0
浙江 嘉兴_2019	浙江	嘉兴	2019	258184	11450392	2.0968635639027036e-06	3.756880551992344e-06	6.814806582683786e-06	2.708448770040992e-06	1.5377E-05	11445666	3815222	5.381949814016939e-05	0.014778082813180115	0	0	8.413665050159597e-05	0	0	10	1
浙江 嘉兴_2020	浙江	嘉兴	2020	216831	9507191	1.3680315236556327e-06	3.367462212075404e-06	1.3259382460046902e-05	3.0517626296933346e-06	2.10466E-05	9502705	9502705	7.124287242422026e-05	0.016840573289394967	0	0	7.145333881247498e-05	0	0	10	0
浙江 嘉兴_2021	浙江	嘉兴	2021	145791	4931523	3.2465549486526897e-06	1.826187158617138e-06	1.4609497268937104e-05	3.855284001525069e-06	2.35375E-05	4928301	985660.2	7.812022845195536e-05	0.0134547382556382	0	0	0.0001205283524687311	0	0	0	0
浙江 嘉兴_2022	浙江	嘉兴	2022	102332	3952647	1.7718231021939473e-06	2.024940688221654e-06	1.4174584817551579e-05	6.581057236720376e-06	2.45524E-05	3950733	790146.6	8.504750890530947e-05	0.01489293252669821	0	0	6.935421857159165e-05	0	0	2	0
浙江 嘉兴_2023	浙江	嘉兴	2023	88671	2699186	2.966384192731914e-06	8.528354554104252e-06	1.8910699228665952e-05	5.191172337280849e-06	3.55966E-05	2696886	2696886	0.00011791377166109358	0.009764224368401186	0	0	0.00010604823489016592	0	0	2	0
浙江 嘉兴_2024	浙江	嘉兴	2024	168805	5530976	1.4473591846157297e-06	6.151276534616851e-06	9.58875459807921e-06	3.6183979615393246e-06	2.08058E-05	5527308	1381827	6.893048116732413e-05	0.011226622435369985	0	0	0.00011795977354618197	0	0	0	0
浙江 金华_2010	浙江	金华	2010	184340	5138362	2.7264289506247614e-06	2.3369391005355095e-06	1.3047909977989928e-05	6.816072376561903e-06	2.49274E-05	5134922	466811.0909090909	8.374031776918909e-05	0.006775370687227576	0	0	0.00012658420127900676	0	0	13	0
