市 年	微博数	微博字数	身体形象	词数	每句平均词数	字典覆盖率	数字比率	词长大于等于6的比率	词长大于等于4的比率	拉丁词比率	at用户数量	情感词数量	标签数量	url数量
黑龙江 鸡西_2018	20870	796607	0.0020621171990872432	796269	199067.25	0.0033682084823093705	0.011428298728193613	0.0	0.0	7.535142018589196e-05	0	0	0	0
黑龙江 鸡西_2019	24471	783844	0.0021825477863094264	783488	783488.0	0.0035558936448292764	0.009410482355824212	0.0	0.0	0.00015188490442738116	0	0	0	0
黑龙江 鸡西_2020	38733	2645706	0.0012724214187158599	2645350	2645350.0	0.0020118320827111724	0.024068270739221652	0.0	0.0	2.419339595894683e-05	0	0	5	0
黑龙江 鸡西_2021	10233	334892	0.0024611708482676223	334800	334800.0	0.003903823178016726	0.011866786140979689	0.0	0.0	5.3763440860215054e-05	0	0	1	0
黑龙江 鸡西_2022	7476	257525	0.0021401299614310517	257461	257461.0	0.0034218774882409375	0.010875433560811151	0.0	0.0	1.5536333658301646e-05	0	0	1	0
黑龙江 鸡西_2023	8079	345651	0.0018116309019085791	345545	345545.0	0.002989480386056809	0.013581443806161282	0.0	0.0	5.498560245409426e-05	0	0	0	0
黑龙江 鸡西_2024	13536	341757	0.0019322144055366726	341577	341577.0	0.003226212537729414	0.006276769220410039	0.0	0.0	7.904513477195479e-05	0	0	0	0
黑龙江 鹤岗_2010	6778	174182	0.0021083956660117426	174066	174066.0	0.0035561223903576803	0.0062964622614410624	0.0	0.0	0.00010915399905782864	0	0	0	0
黑龙江 鹤岗_2011	72684	2307600	0.002158509262463797	2305758	2305758.0	0.0036569319069911068	0.011034115462247121	0.0	0.0	6.852410357027928e-05	0	0	3	0
黑龙江 鹤岗_2012	76550	2468426	0.0025497193241074767	2466546	616636.5	0.004291831573382374	0.01526385479938343	0.0	0.0	4.1353374313716425e-05	0	0	3	0
黑龙江 鹤岗_2013	31733	1222482	0.00541643276471291	1222022	203670.33333333334	0.008432745073329286	0.011413051483524847	0.0	0.0	6.710190160242615e-05	0	0	1	0
黑龙江 鹤岗_2014	30062	1199380	0.01099204521945718	1198776	399592.0	0.01712079654581006	0.015293098960940159	0.0	0.0	6.673473609748611e-05	0	0	0	0
黑龙江 鹤岗_2015	18011	599585	0.0030761424539371453	599127	59912.7	0.005097416741358677	0.013359437982264194	0.0	0.0	0.00010849118801189063	0	0	1	0
黑龙江 鹤岗_2016	15448	407154	0.0026603199268289083	406718	406718.0	0.004408459915715557	0.007732630471235598	0.0	0.0	0.00014998106796355214	0	0	2	0
黑龙江 鹤岗_2017	13087	443984	0.001931441707421514	443710	443710.0	0.003191273579590273	0.008250884586779653	0.0	0.0	9.465641973360979e-05	0	0	0	0
黑龙江 鹤岗_2018	17896	543429	0.002360509884865302	543103	38793.07142857143	0.003982669953949803	0.00677219606593961	0.0	0.0	0.00011231755302401202	0	0	1	0
黑龙江 鹤岗_2019	31605	994272	0.0023605171806610654	993850	993850.0	0.003997585148664285	0.008806157870906073	0.0	0.0	0.00014287870402978316	0	0	10	0
黑龙江 鹤岗_2020	33161	1788579	0.0015462640526881786	1788181	1788181.0	0.0025042207695977086	0.018107786627863734	0.0	0.0	3.4112877835073744e-05	0	0	7	0
黑龙江 鹤岗_2021	16349	797883	0.001752597869051604	797673	797673.0	0.002842016716123023	0.01104086511640735	0.0	0.0	3.5102103242807516e-05	0	0	1	0
黑龙江 鹤岗_2022	18196	590424	0.0015106202209005948	588500	294250.0	0.002346644010195412	0.00952591333899745	0.0	0.0	0.0009209855564995752	0	0	0	0
黑龙江 鹤岗_2023	5934	197708	0.0020593414155315832	197636	197636.0	0.0032281568135359953	0.009315104535610921	0.0	0.0	7.083729684875226e-05	0	0	0	0
黑龙江 鹤岗_2024	19848	1100649	0.002156521865568625	1100383	1100383.0	0.003424262279588107	0.01048634884399341	0.0	0.0	3.362465614245222e-05	0	0	0	0
黑龙江 黑河_2010	12842	358509	0.00210147940801353	358319	119439.66666666667	0.003519210535863295	0.006614218057094377	0.0	0.0	0.0001507037025667073	0	0	3	0
黑龙江 黑河_2011	92370	2866859	0.0027428068067956277	2865313	409330.4285714286	0.004554825249457913	0.011594195817350496	0.0	0.0	9.911657120879988e-05	0	0	2	0
黑龙江 黑河_2012	89593	2969525	0.002515524529143465	2968367	2968367.0	0.004168622006645405	0.015062827473826519	0.0	0.0	0.00013845996805651053	0	0	0	0
黑龙江 黑河_2013	37952	1364165	0.0027241842296498306	1363711	194815.85714285713	0.004421757982446427	0.009761599048478746	0.0	0.0	9.09283565212864e-05	0	0	2	0
黑龙江 黑河_2014	34984	1208416	0.002514280983525126	1207900	75493.75	0.003983773491183045	0.011131716201672325	0.0	0.0	9.106714131964567e-05	0	0	0	0
黑龙江 黑河_2015	27023	843723	0.0024301466271486162	843159	30112.821428571428	0.0038379475282835146	0.012612093329965048	0.0	0.0	0.00014825199043122354	0	0	0	0
黑龙江 黑河_2016	23679	733390	0.0023165707113427378	732980	732980.0	0.0038636797729815274	0.0069169690851046415	0.0	0.0	0.00010641490900160987	0	0	13	0
黑龙江 黑河_2017	18073	566806	0.00261245931271138	566516	28325.8	0.00405107710991393	0.0083422180485635	0.0	0.0	9.531946140973953e-05	0	0	0	0
